#CHR	POS	Count_A	Count_C	Count_G	Count_T	Good_depth
1	30823473	0	0	79	0	79
1	31292614	0	0	33	0	33
1	31546022	0	86	0	0	86
1	32063372	0	0	74	0	74
1	32218601	0	107	0	0	107
1	32254517	0	79	0	0	79
1	32270174	132	0	0	0	132
1	32350515	0	0	112	0	112
1	32415000	62	0	0	0	62
1	32418590	0	94	0	0	94
1	32760362	0	97	0	0	97
1	32789824	0	0	131	0	131
1	32908196	0	61	0	0	61
1	32936066	0	0	100	0	100
1	33001980	0	91	0	0	91
1	33003606	0	0	60	0	60
1	33744661	0	110	0	0	110
1	34345347	133	0	0	0	133
1	34626213	0	106	0	0	106
1	35090760	0	0	0	119	119
1	35461737	0	0	94	0	94
1	35560784	0	106	0	1	107
1	36991464	0	0	89	0	89
1	36991465	88	0	0	0	88
1	37264219	0	0	110	0	110
1	37286977	0	0	122	0	122
1	37359531	0	65	0	0	65
1	38370559	0	0	0	93	93
1	38601018	56	0	0	0	56
1	38966893	0	110	0	0	110
1	39193628	0	0	54	0	54
1	39380751	0	0	67	0	67
1	40527757	0	86	0	0	86
1	40720544	0	72	0	0	72
1	40930318	0	0	85	0	85
1	40951238	0	118	0	0	118
1	41140412	0	117	0	0	117
1	41291005	0	86	0	0	86
1	41325715	0	0	71	0	71
1	41425756	98	0	0	0	98
1	41662195	0	0	107	0	107
1	42061713	0	0	78	0	78
1	42170881	63	0	0	0	63
1	42225443	0	0	105	0	105
1	42304686	0	100	0	0	100
1	42360463	0	0	0	55	55
1	42384960	0	74	0	0	74
1	42397079	0	136	0	0	136
1	42483286	0	100	0	0	100
1	42499238	0	87	0	0	87
1	43264525	0	0	76	0	76
1	43716443	76	0	0	0	76
1	44334200	0	68	0	0	68
1	44388753	0	79	0	0	79
1	44896670	0	0	62	0	62
1	45489623	0	80	0	0	80
1	45576429	0	0	97	0	97
1	45690739	0	76	0	0	76
1	46353907	0	0	0	52	52
1	46594482	0	86	0	0	86
1	47306409	0	0	0	67	67
1	47741655	0	0	80	0	80
1	47766125	0	108	0	0	108
1	48533459	0	98	0	1	99
1	49037221	78	0	0	0	78
1	49259450	118	0	0	0	118
1	49617718	0	82	0	0	82
1	49750583	0	90	0	0	90
1	49818971	0	88	0	0	88
1	49855904	0	0	55	0	55
1	49879838	0	0	0	80	80
1	49924794	0	0	87	0	87
1	49949804	91	0	0	0	91
1	50321812	0	0	0	65	65
1	50352915	0	0	0	90	90
1	50393398	0	0	99	0	99
1	50571811	0	0	0	86	86
1	50973220	0	0	81	0	81
1	52372533	0	0	0	101	101
1	53745731	0	0	0	98	98
1	53985297	0	85	0	0	85
1	54751858	0	61	1	0	62
1	54974872	0	0	70	0	70
1	55092387	0	0	113	0	113
1	55668336	72	0	0	0	72
1	56215063	0	0	118	0	118
1	56380389	0	0	30	0	30
1	57013299	0	71	0	0	71
1	57132614	0	0	90	0	90
1	57539946	0	0	110	0	110
1	57707697	1	0	101	0	102
1	57843635	0	84	0	0	84
1	57861853	0	118	0	0	118
1	58251331	83	0	0	0	83
1	59008315	0	0	71	0	71
1	59865335	93	0	0	0	93
1	60092990	0	0	76	0	76
1	60287666	0	86	0	0	86
1	60895256	0	0	0	57	57
1	62003729	0	127	0	0	127
1	62375914	0	67	0	0	67
1	62877682	0	132	0	0	132
1	63144186	0	0	99	0	99
1	63643869	0	111	0	0	111
1	64399907	77	0	0	0	77
1	64837650	0	0	116	0	116
1	65243154	0	0	0	52	52
1	66088855	0	0	110	0	110
1	66264616	0	0	0	105	105
1	66338263	82	0	0	0	82
1	66714059	0	98	0	0	98
1	67660078	0	111	0	0	111
1	67903459	0	121	0	0	121
1	67940085	0	0	0	116	116
1	68136021	0	0	0	94	94
1	68204368	97	0	0	0	97
1	68347360	0	98	0	0	98
1	68676992	0	69	0	0	69
1	68946068	0	0	104	0	104
1	69126876	106	0	0	0	106
1	69228267	0	0	66	0	66
1	69405464	74	0	0	0	74
1	69532266	0	0	0	75	75
1	70132690	0	116	0	0	116
1	70489416	0	78	0	0	78
1	70561340	0	76	0	0	76
1	70599581	0	0	0	52	52
1	70771843	0	0	54	0	54
1	70850008	0	0	43	0	43
1	71348262	0	0	105	0	105
1	71474421	0	0	0	100	100
1	72072624	0	0	109	0	109
1	72258525	0	65	0	0	65
1	72334607	0	72	0	0	72
1	72454174	0	0	0	71	71
1	72522643	0	0	95	0	95
1	72643612	0	78	0	0	78
1	72818529	0	84	0	0	84
1	72995251	0	81	0	0	81
1	73348534	0	0	92	0	92
1	73439848	0	121	0	0	121
1	73939218	0	0	0	96	96
1	74797088	0	0	117	0	117
1	75575036	0	0	97	0	97
1	75666345	0	0	111	0	111
1	76421880	0	0	13	64	77
1	76511959	0	0	121	0	121
1	76968939	0	0	87	0	87
1	77064747	4	14	0	0	18
1	77352330	0	0	122	0	122
1	77710785	0	120	0	0	120
1	78108139	0	0	103	0	103
1	78956371	0	0	89	0	89
1	79449076	0	78	0	0	78
1	79487739	0	0	0	86	86
1	79782907	0	0	0	109	109
1	80479847	0	84	0	0	84
1	80662805	0	0	0	82	82
1	81435530	60	0	0	0	60
1	81438820	0	90	0	0	90
1	81439134	0	78	0	0	78
1	81549569	0	50	0	0	50
1	81733366	0	0	0	105	105
1	82323432	109	0	0	0	109
1	82392388	0	0	128	0	128
1	82662045	0	0	0	79	79
1	83072210	0	119	0	0	119
1	83441184	0	0	0	107	107
1	83635241	97	0	0	0	97
1	83869143	0	80	0	0	80
1	83952757	103	0	0	0	103
1	84557218	0	0	97	0	97
1	84707627	0	52	0	0	52
1	85451261	0	0	94	0	94
1	85509366	0	45	0	0	45
1	85625692	0	0	0	24	24
1	85700101	0	0	0	79	79
1	85924007	1	0	124	0	125
1	86070460	0	91	0	0	91
1	86070731	0	103	0	0	103
1	86223145	0	0	0	72	72
1	86496421	0	0	109	0	109
1	86863118	0	78	0	0	78
1	86962190	0	0	0	83	83
1	87278635	0	0	75	0	75
1	87444301	82	0	0	0	82
1	87693619	0	91	0	0	91
1	88330824	0	0	100	0	100
1	88431049	79	0	0	0	79
1	89268847	0	0	149	0	149
1	89312145	0	92	0	0	92
1	89432292	0	101	0	0	101
1	89627415	0	0	85	0	85
1	89651250	0	30	0	0	30
1	89819471	0	0	97	0	97
1	89865946	0	0	132	0	132
1	90231805	0	0	116	0	116
1	91754089	0	0	104	0	104
1	92351343	0	107	0	0	107
1	93183747	0	0	73	0	73
1	94078102	89	0	0	0	89
1	94114504	0	0	123	0	123
1	94384649	93	0	0	0	93
1	94387670	0	115	0	0	115
1	94791279	0	79	0	0	79
1	96860561	70	0	0	0	70
1	96892284	0	0	0	101	101
1	97085761	0	0	92	0	92
1	97359241	0	0	89	0	89
1	97651287	0	74	0	0	74
1	98473355	0	0	86	0	86
1	98658739	0	0	109	0	109
1	98824506	0	93	0	0	93
1	98909460	0	121	0	0	121
1	98989089	0	0	101	0	101
1	99061669	0	0	110	0	110
1	99181465	0	0	89	0	89
1	99332001	0	0	115	0	115
1	99514784	0	122	0	0	122
1	99679829	0	81	0	0	81
1	99988830	0	0	108	0	108
1	100191602	0	0	105	0	105
1	100535693	0	0	88	0	88
1	100716563	0	0	87	0	87
1	100764773	0	0	0	64	64
1	100866151	0	80	0	0	80
1	100888655	0	0	115	0	115
1	100954692	0	0	117	0	117
1	101057080	0	109	0	0	109
1	101066415	89	0	0	0	89
1	101418544	0	118	0	0	118
1	101721740	0	0	0	102	102
1	101816512	79	0	0	0	79
1	102033445	0	0	77	0	77
1	102208391	0	106	0	0	106
1	102271515	0	0	0	98	98
1	102559594	0	0	81	0	81
1	102561182	0	0	113	0	113
1	102563456	0	0	92	0	92
1	102692945	102	0	0	0	102
1	102763560	0	0	0	95	95
1	102877611	0	67	0	0	67
1	103089754	0	86	0	0	86
1	103125534	0	0	88	0	88
1	103230524	0	104	0	0	104
1	103251263	128	0	0	0	128
1	103253802	0	0	102	0	102
1	103454530	0	0	0	86	86
1	103560191	0	0	83	0	83
1	103619848	0	0	0	120	120
1	103944078	0	0	0	88	88
1	103947988	0	0	68	0	68
1	104116877	0	0	0	54	54
1	104330409	0	94	0	0	94
1	104458562	0	82	0	0	82
1	104611585	0	120	0	0	120
1	104635762	0	122	0	0	122
1	104771050	0	115	0	0	115
1	105173808	0	0	74	0	74
1	106517738	0	76	0	0	76
1	107153239	1	0	0	105	106
1	107277006	115	0	0	0	115
1	107583924	103	0	0	0	103
1	107770455	0	125	0	0	125
1	107982574	0	0	87	0	87
1	108135805	0	0	91	0	91
1	108219285	0	68	0	0	68
1	108314820	0	102	0	0	102
1	108329251	0	0	110	0	110
1	108331574	0	0	60	0	60
1	108383388	0	67	0	0	67
1	108418862	0	0	0	111	111
1	108657230	0	0	0	68	68
1	108684890	0	59	0	0	59
1	108770695	0	127	0	0	127
1	108999107	0	0	43	0	43
1	109106528	0	0	0	78	78
1	109126151	89	0	0	0	89
1	109224343	75	0	0	0	75
1	109272935	0	84	0	0	84
1	109539499	0	0	0	95	95
1	109544425	0	0	110	0	110
1	109571775	0	0	51	0	51
1	109693719	0	0	118	0	118
1	109693742	0	110	0	0	110
1	109704854	0	0	134	0	134
1	109852433	0	0	0	90	90
1	109855741	0	100	0	0	100
1	109934117	0	0	0	91	91
1	110044693	0	0	102	0	102
1	110081350	94	0	0	0	94
1	110120154	0	0	1	68	69
1	110718870	0	96	0	0	96
1	111291003	0	98	0	0	98
1	111322488	0	0	115	0	115
1	111390202	88	0	0	0	88
1	112251363	66	0	0	0	66
1	112737347	0	80	0	0	80
1	112739012	0	0	0	74	74
1	112886174	106	0	0	0	106
1	112903034	0	0	75	0	75
1	112929026	0	0	124	1	125
1	113095675	0	0	75	0	75
1	113122249	76	0	0	0	76
1	113126853	0	120	0	0	120
1	113226135	1	93	0	0	94
1	113401621	118	0	0	0	118
1	113841572	0	0	0	58	58
1	114012055	0	0	90	0	90
1	114199369	0	0	0	119	119
1	114631376	0	0	0	84	84
1	114781985	0	97	0	0	97
1	114862677	0	0	98	0	98
1	115032794	73	0	0	0	73
1	115085814	0	57	0	0	57
1	115127590	0	0	79	0	79
1	115188264	0	0	100	0	100
1	115323072	0	129	0	0	129
1	115345062	0	0	89	0	89
1	115360868	0	0	121	0	121
1	115696751	0	0	88	0	88
1	115745178	0	69	0	0	69
1	115772762	0	0	64	0	64
1	115782893	0	92	0	0	92
1	115835797	0	0	78	0	78
1	115997046	0	68	0	0	68
1	116095436	0	86	0	0	86
1	116321790	0	0	0	118	118
1	116410931	0	106	0	0	106
1	116561459	95	0	0	0	95
1	116561503	0	0	86	0	86
1	116593317	0	0	61	0	61
1	116689545	167	0	0	0	167
1	116998055	0	0	102	0	102
1	117134584	0	120	0	0	120
1	117143543	0	88	0	0	88
1	117178848	0	0	117	0	117
1	117230639	0	89	0	0	89
1	117278519	0	92	0	0	92
1	117308592	0	102	0	0	102
1	117552689	0	0	89	0	89
1	117835728	0	1	0	42	43
1	118077097	0	129	0	0	129
1	118287675	0	0	83	0	83
1	118444988	0	0	0	85	85
1	118735531	75	0	0	0	75
1	119879038	0	0	113	0	113
1	119903199	0	0	121	0	121
1	120201604	102	0	0	0	102
1	120690392	0	0	66	0	66
1	120859535	83	0	0	0	83
1	121511588	0	140	0	0	140
1	122264999	0	81	0	0	81
1	122432789	0	0	98	0	98
1	122671575	0	95	0	0	95
1	122739346	0	96	0	0	96
1	122811477	0	141	0	0	141
1	123925709	0	0	70	0	70
1	124366150	0	0	0	93	93
1	124574520	0	81	0	0	81
1	125036901	0	65	0	0	65
1	125187552	0	0	0	66	66
1	125530847	0	63	0	0	63
1	125587872	0	0	132	0	132
1	125631667	0	0	74	0	74
1	125684783	0	63	0	0	63
1	125812598	0	86	0	0	86
1	126297062	0	83	0	0	83
1	126302749	0	0	0	109	109
1	126575849	0	67	0	0	67
1	126968547	0	82	0	0	82
1	127084728	0	0	0	111	111
1	127126493	0	86	0	0	86
1	127364133	0	88	0	0	88
1	127917305	0	0	0	92	92
1	128238441	0	91	0	0	91
1	128647209	0	80	0	0	80
1	128744423	134	1	0	0	135
1	128827860	0	142	0	0	142
1	129064300	0	0	0	90	90
1	129180220	0	133	0	0	133
1	129404189	0	0	0	112	112
1	129915735	0	106	0	0	106
1	130727365	0	80	0	0	80
1	130781362	95	0	0	0	95
1	130840132	131	0	0	0	131
1	130906674	0	130	0	0	130
1	132262008	0	53	0	0	53
1	132453467	0	83	0	0	83
1	132572653	0	0	0	135	135
1	132800729	0	0	122	0	122
1	133269101	0	0	0	76	76
1	134180487	0	0	126	0	126
1	135237697	0	125	0	0	125
1	135249742	0	0	0	120	120
1	135409553	0	8	101	0	109
1	135990856	0	81	0	0	81
1	136304050	0	71	0	1	72
1	136312481	0	120	0	0	120
1	136405528	0	109	0	0	109
1	136536915	0	0	0	89	89
1	137051495	0	110	0	0	110
1	137129830	0	0	73	0	73
1	137955811	0	0	89	0	89
1	138059284	0	94	0	0	94
1	138105477	97	0	0	0	97
1	138153965	0	97	0	0	97
1	138505950	0	0	0	82	82
1	138633810	0	56	0	0	56
1	138969600	0	0	0	55	55
1	138981827	67	0	0	0	67
1	139093580	0	0	85	0	85
1	139881104	0	76	0	0	76
1	139951657	0	127	0	0	127
1	140354273	0	0	0	96	96
1	140979391	0	0	75	0	75
1	141007391	93	0	0	0	93
1	141149153	123	0	0	0	123
1	141167914	0	113	0	0	113
1	141467925	0	0	112	0	112
1	141615184	0	87	0	0	87
1	141615190	0	92	0	0	92
1	141777469	0	0	103	0	103
1	141952778	0	0	108	0	108
1	142367114	0	0	55	0	55
1	143617648	0	93	0	0	93
1	143710427	0	136	0	0	136
1	144319225	0	0	94	0	94
1	144497277	0	0	0	97	97
1	145498689	119	0	0	1	120
1	145605565	0	53	0	0	53
1	146114125	0	0	0	57	57
1	146256812	0	83	0	0	83
1	146367561	0	0	88	0	88
1	146917630	0	94	0	0	94
1	146919206	0	0	81	0	81
1	147033312	0	79	0	0	79
1	147186838	0	81	0	0	81
1	147342302	0	0	105	3	108
1	147399670	0	107	0	0	107
1	147538917	0	0	70	0	70
1	147577324	0	0	65	0	65
1	147787490	0	0	135	0	135
1	147805579	0	0	0	118	118
1	147950791	0	63	0	0	63
1	148419858	69	0	0	0	69
1	148464357	0	0	0	90	90
1	148759229	0	60	0	0	60
1	149079038	0	84	0	0	84
1	149246833	0	117	0	0	117
1	149289693	0	0	91	0	91
1	149308291	0	0	88	0	88
1	150596367	0	92	0	0	92
1	150973374	0	0	0	87	87
1	151965513	0	88	0	0	88
1	153112815	0	0	94	0	94
1	153556124	0	58	0	0	58
1	153833914	0	0	100	0	100
1	154004256	0	0	58	0	58
1	154080777	0	109	0	0	109
1	154301165	0	0	110	0	110
1	154786523	0	0	0	73	73
1	154945256	0	0	0	133	133
1	154984129	55	0	0	0	55
1	155007608	0	0	84	0	84
1	155213676	0	86	0	0	86
1	155669439	0	0	72	0	72
1	156818509	0	0	0	123	123
1	156873292	0	76	0	0	76
1	157493982	0	0	96	0	96
1	157567386	0	0	112	0	112
1	157861744	80	0	0	0	80
1	158063393	1	0	0	139	140
1	158097297	0	62	0	0	62
1	158288474	0	0	0	111	111
1	158475311	74	0	0	0	74
1	158952938	0	0	86	0	86
1	159360352	0	100	0	0	100
1	159753110	0	0	48	0	48
1	160097858	81	0	0	0	81
1	161057186	0	0	76	0	76
1	161696046	0	115	0	0	115
1	162149765	64	0	0	0	64
1	162241854	0	0	105	0	105
1	162258782	0	56	0	2	58
1	162377285	0	116	0	0	116
1	162576497	0	88	0	0	88
1	163054074	0	0	133	0	133
1	163178598	0	0	64	0	64
1	163265596	119	0	0	0	119
1	163481632	0	101	0	0	101
1	164419573	0	0	0	80	80
1	164775178	91	0	0	0	91
1	165356546	0	0	115	0	115
1	165677657	0	97	0	0	97
1	165859924	0	90	0	0	90
1	166008895	0	0	65	0	65
1	166306393	0	0	95	0	95
1	166718640	0	0	85	0	85
1	167490872	0	84	0	0	84
1	167674723	0	0	59	0	59
1	167715715	0	0	139	0	139
1	167747130	0	0	95	0	95
1	168172710	0	0	88	0	88
1	168594722	0	0	0	120	120
1	168594723	0	0	120	0	120
1	169135327	0	0	102	0	102
1	169387970	0	0	66	0	66
1	169559661	0	91	0	0	91
1	169768547	0	91	0	0	91
1	169838854	0	0	84	0	84
1	170065545	0	0	113	0	113
1	171143230	0	0	60	0	60
1	171511917	0	0	82	0	82
1	172035889	115	0	0	0	115
1	172799937	0	108	0	0	108
1	172889047	0	0	67	0	67
1	172900632	0	84	0	0	84
1	173018087	0	0	93	0	93
1	173486634	0	0	0	69	69
1	174016971	0	0	49	0	49
1	174414923	0	0	115	0	115
1	174792386	0	0	120	0	120
1	175006059	0	0	134	0	134
1	175384198	80	0	0	0	80
1	175384906	0	0	0	62	62
1	176400516	0	99	0	0	99
1	177025069	0	0	106	0	106
1	177618353	0	109	0	0	109
1	179072521	0	175	0	0	175
1	179118324	0	105	0	0	105
1	179130284	0	91	0	0	91
1	180141575	0	58	0	0	58
1	180357240	0	71	0	0	71
1	181178137	1	0	86	0	87
1	181379967	0	0	71	0	71
1	181423513	0	0	123	0	123
1	182776536	0	95	0	1	96
1	182951652	0	0	98	0	98
1	183418434	0	34	0	0	34
1	183707800	0	101	0	0	101
1	183768586	91	0	0	0	91
1	184211040	0	0	103	0	103
1	184619690	94	0	0	0	94
1	184780277	0	72	0	0	72
1	185036833	102	0	0	0	102
1	185185547	0	0	0	90	90
1	185424526	0	0	0	86	86
1	185809943	0	0	98	0	98
1	185811528	103	0	0	0	103
1	185968049	0	0	113	0	113
1	186260376	0	0	77	0	77
1	186643550	0	0	0	106	106
1	186796688	0	88	0	0	88
1	186880277	0	5	0	125	130
1	186954277	0	0	68	0	68
1	187533517	0	115	0	0	115
1	187626133	0	0	82	0	82
1	187774340	0	99	0	0	99
1	187998033	0	0	0	137	137
1	188540803	153	0	0	0	153
1	189200114	0	0	114	0	114
1	189303619	126	0	0	0	126
1	189382394	0	0	82	0	82
1	190091524	0	102	0	0	102
1	190362417	0	83	0	0	83
1	190426985	0	131	0	0	131
1	190491228	141	0	0	0	141
1	191831429	0	0	137	0	137
1	192239149	0	0	0	120	120
1	192316840	0	82	0	0	82
1	192634115	54	0	0	0	54
1	192987838	0	140	0	0	140
1	193121742	0	0	64	0	64
1	193121743	0	66	0	0	66
1	193440431	116	0	0	0	116
1	194096768	0	93	0	0	93
1	194171330	0	73	0	0	73
1	194273551	0	0	64	0	64
10	3198856	0	0	106	0	106
10	3335217	80	0	0	0	80
10	3348457	0	77	0	0	77
10	3416000	0	82	0	0	82
10	3454551	86	0	0	0	86
10	3567830	85	0	0	0	85
10	3620898	0	0	65	0	65
10	3712457	0	0	0	65	65
10	3996992	0	92	0	0	92
10	4456403	0	55	0	0	55
10	4496668	0	0	110	0	110
10	4910064	56	0	0	2	58
10	5051175	0	95	0	0	95
10	5261931	0	128	0	0	128
10	6274389	23	0	0	0	23
10	6770196	0	107	0	0	107
10	7312734	0	66	0	0	66
10	7667842	102	0	0	0	102
10	7912790	104	0	0	0	104
10	8042772	0	109	0	0	109
10	8513114	56	0	4	0	60
10	8696729	7	0	0	0	7
10	9981932	0	0	60	0	60
10	10857569	0	64	0	0	64
10	11761397	74	0	1	0	75
10	11872901	0	68	0	0	68
10	11892481	0	62	0	0	62
10	12663482	0	90	0	0	90
10	13317114	0	0	111	0	111
10	13373672	0	0	0	67	67
10	13687974	0	0	78	1	79
10	13957072	0	0	112	0	112
10	14761088	0	0	0	108	108
10	14882547	0	71	0	0	71
10	15252027	0	100	0	0	100
10	15606723	0	0	74	0	74
10	15782503	0	77	0	0	77
10	15820215	0	0	107	0	107
10	15971189	0	0	65	0	65
10	16036455	0	0	101	0	101
10	16589023	0	0	0	87	87
10	16640270	0	0	86	0	86
10	18249616	0	61	0	0	61
10	18965079	0	0	104	0	104
10	19176982	0	115	0	0	115
10	19234980	0	69	0	0	69
10	19264083	0	89	0	0	89
10	19352379	0	0	0	107	107
10	20208839	0	82	0	1	83
10	20437375	0	1	0	83	84
10	20747828	0	0	111	0	111
10	21020173	94	0	0	0	94
10	21083435	67	0	0	0	67
10	22274142	0	0	0	102	102
10	22399581	66	0	0	0	66
10	22617066	0	0	0	86	86
10	23371661	0	0	60	0	60
10	23755916	0	0	113	0	113
10	23968312	72	0	0	0	72
10	24084411	0	0	119	0	119
10	24160181	0	0	94	0	94
10	24763329	0	111	0	0	111
10	24813263	0	97	0	0	97
10	24815128	0	0	106	0	106
10	24992540	80	0	0	0	80
10	25536515	0	110	0	2	112
10	25958934	0	120	0	0	120
10	26114373	0	0	56	0	56
10	26118045	0	0	87	0	87
10	26691002	0	0	63	0	63
10	27460171	0	112	0	0	112
10	27560708	0	0	68	0	68
10	27619266	0	0	0	93	93
10	28049505	0	0	95	0	95
10	28336654	0	0	96	0	96
10	28362490	0	0	90	0	90
10	28424550	0	0	71	0	71
10	29063888	0	0	70	0	70
10	29135635	0	0	128	0	128
10	29475284	101	0	0	0	101
10	29750853	65	0	0	0	65
10	29938744	0	0	98	0	98
10	30387378	0	0	121	0	121
10	30424812	0	0	118	0	118
10	30700254	0	80	0	0	80
10	30871108	1	0	107	0	108
10	30918844	0	99	0	0	99
10	31260863	0	112	0	0	112
10	31353550	0	0	71	0	71
10	31867605	0	73	0	0	73
10	32021483	0	97	0	0	97
10	32070635	81	0	0	0	81
10	32303726	0	0	54	0	54
10	32402193	0	0	0	93	93
10	32679294	0	0	0	67	67
10	33207667	0	0	103	0	103
10	33474583	0	107	0	0	107
10	33548455	1	75	0	0	76
10	33612775	0	89	0	0	89
10	33747868	0	0	111	0	111
10	34383125	0	0	78	0	78
10	34674608	0	73	0	0	73
10	34908347	0	0	97	0	97
10	34920195	0	114	0	0	114
10	34977854	93	0	0	0	93
10	35113528	0	0	129	0	129
10	35130617	0	0	99	0	99
10	35346714	0	122	0	0	122
10	35559022	0	0	55	0	55
10	35700171	0	0	0	109	109
10	35729463	0	100	0	0	100
10	36189256	0	84	0	0	84
10	37408633	0	0	74	0	74
10	38017056	0	69	0	0	69
10	38664011	81	0	0	0	81
10	38887501	0	84	0	0	84
10	38982210	0	0	0	80	80
10	39311145	116	1	0	0	117
10	39484519	0	94	0	0	94
10	39692757	0	91	0	0	91
10	40052592	0	85	0	0	85
10	40170668	0	0	96	0	96
10	40285510	0	105	0	0	105
10	40483666	0	81	0	0	81
10	40905479	0	0	0	57	57
10	41142523	1	94	0	0	95
10	41151607	0	0	77	0	77
10	41296941	1	0	0	71	72
10	41471276	0	0	98	0	98
10	41642805	0	0	87	0	87
10	43122874	0	98	0	2	100
10	43198112	0	102	0	0	102
10	43527035	128	0	0	0	128
10	43570990	46	0	0	0	46
10	44534110	0	0	93	0	93
10	44996304	0	0	99	0	99
10	45058792	0	0	95	0	95
10	45115085	0	0	105	0	105
10	45410694	0	97	0	0	97
10	45888777	0	116	0	0	116
10	45906159	0	0	85	0	85
10	46014181	0	0	0	128	128
10	46027482	0	115	0	0	115
10	46028046	0	0	81	0	81
10	46080776	0	0	97	0	97
10	46163535	0	99	0	0	99
10	46179677	0	110	0	0	110
10	46529983	0	0	105	0	105
10	46558704	103	0	0	0	103
10	46699568	0	0	113	0	113
10	46925397	0	62	0	0	62
10	46948096	0	0	0	112	112
10	47102140	102	0	0	0	102
10	47219757	0	0	0	59	59
10	47507163	0	0	52	0	52
10	47642894	0	0	88	0	88
10	48026260	51	0	0	0	51
10	48075786	0	0	94	0	94
10	48252153	0	0	0	60	60
10	48359118	0	0	80	0	80
10	48654581	0	0	76	0	76
10	48768619	0	0	73	0	73
10	48819840	0	0	0	87	87
10	48941710	121	0	0	0	121
10	49086850	0	0	0	66	66
10	49136056	0	0	71	0	71
10	49234677	0	0	105	0	105
